id,name,fullname,type,is_category,internal_type,external
626,CustomersPurchasesCtrl,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_AngularJS_Controller/CustomersPurchasesCtrl.CustomersPurchasesCtrl,AngularJS Controller,AngularJS Controller,CAST_AngularJS_Controller,1
627,gridOptions.beforeSelectionChange,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_AngularJS_Controller/CustomersPurchasesCtrl.CustomersPurchasesCtrl/CAST_AngularJS_ModelFunction/gridOptions.beforeSelectionChang,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
628,focusPurchase,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersPurchasesCtrl.js/CAST_AngularJS_Controller/CustomersPurchasesCtrl.CustomersPurchasesCtrl/CAST_AngularJS_ModelFunction/focusPurchase,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
634,newCustomerModal,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_AngularJS_Directive/newCustomerModal.newCustomerModal,AngularJS Directive,AngularJS Directive,CAST_AngularJS_Directive,1
639,showModal,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_AngularJS_Directive/newCustomerModal.newCustomerModal/CAST_AngularJS_ModelFunction/showModal,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
640,save,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\directives\newCustomerModal.js/CAST_AngularJS_Directive/newCustomerModal.newCustomerModal/CAST_AngularJS_ModelFunction/save,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
641,Customer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\Customer.js/CAST_AngularJS_Service/Customer.Customer,AngularJS Service,AngularJS Service,CAST_AngularJS_Service,1
642,CustomersService,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\services\CustomersService.js/CAST_AngularJS_Service/CustomersService.CustomersService,AngularJS Service,AngularJS Service,CAST_AngularJS_Service,1
643,Purchase,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\models\purchase.js/CAST_NodeJS_MongoDB_Collection/Purchase,NodeJS MongoDB collection,NodeJS MongoDB collection,CAST_NodeJS_MongoDB_Collection,1
644,Customer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\models\customer.js/CAST_NodeJS_MongoDB_Collection/Customer,NodeJS MongoDB collection,NodeJS MongoDB collection,CAST_NodeJS_MongoDB_Collection,1
645,mongodb://localhost/mean-customer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\server.js/CAST_NodeJS_MongoDB_Connection/mongodb://localhost/mean-customer,NodeJS MongoDB connection,NodeJS MongoDB connection,CAST_NodeJS_MongoDB_Connection,1
646,http://fonts.googleapis.com/css,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\index.html/CAST_HTML5_GetHttpRequestService/http://fonts.googleapis.com/css,HTML5 Get HttpRequest service,HTML5 Get HttpRequest service,CAST_HTML5_GetHttpRequestService,1
647,{},C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\index.html/CAST_HTML5_GetHttpRequestService/{},HTML5 Get HttpRequest service,HTML5 Get HttpRequest service,CAST_HTML5_GetHttpRequestService,1
